Name        MACs       CPercent    Memory      MPercent    Params     PPercent    InShape    OutShape
----------  ---------  ----------  ----------  ----------  ---------  ----------  ---------  ----------
input       0          0.00%       14,400      0.05%       0          0.00%       1x1x3600   1x1x3600
Conv_0      24,624     0.25%       8,400       0.03%       48         0.00%       1x1x3600   1x4x513
Div_2       4,104      0.04%       8,208       0.03%       0          0.00%       1x4x513    1x4x513
Erf_3       0          0.00%       8,208       0.03%       0          0.00%       1x4x513    1x4x513
Add_5       2,052      0.02%       8,208       0.03%       0          0.00%       1x4x513    1x4x513
Mul_6       2,052      0.02%       8,208       0.03%       0          0.00%       1x4x513    1x4x513
Mul_8       2,052      0.02%       8,208       0.03%       0          0.00%       1x4x513    1x4x513
Conv_9      47,328     0.49%       8,384       0.03%       464        0.01%       1x4x513    1x16x102
Conv_10     171,072    1.76%       29,184      0.10%       5,184      0.07%       1x16x102   1x64x33
Conv_11     543,488    5.59%       208,896     0.70%       49,408     0.67%       1x64x33    1x256x11
Conv_12     2,362,368  24.29%      3,162,112   10.62%      787,456    10.67%      1x256x11   1x1024x3
Div_14      6,144      0.06%       12,288      0.04%       0          0.00%       1x1024x3   1x1024x3
Erf_15      0          0.00%       12,288      0.04%       0          0.00%       1x1024x3   1x1024x3
Add_17      3,072      0.03%       12,288      0.04%       0          0.00%       1x1024x3   1x1024x3
Mul_18      3,072      0.03%       12,288      0.04%       0          0.00%       1x1024x3   1x1024x3
Mul_20      3,072      0.03%       12,288      0.04%       0          0.00%       1x1024x3   1x1024x3
Reshape_21  0          0.00%       12,300      0.04%       3          0.00%       1x1024x3   1x1024x3
Reshape_22  0          0.00%       12,296      0.04%       2          0.00%       1x1024x3   1x3072
Gemm_23     6,293,504  64.72%      25,182,208  84.60%      6,293,504  85.26%      1x3072     1x2048
Div_25      4,096      0.04%       8,192       0.03%       0          0.00%       1x2048     1x2048
Erf_26      0          0.00%       8,192       0.03%       0          0.00%       1x2048     1x2048
Add_28      2,048      0.02%       8,192       0.03%       0          0.00%       1x2048     1x2048
Mul_29      2,048      0.02%       8,192       0.03%       0          0.00%       1x2048     1x2048
Mul_31      2,048      0.02%       8,192       0.03%       0          0.00%       1x2048     1x2048
Gemm_32     245,880    2.53%       984,000     3.31%       245,880    3.33%       1x2048     1x120
Total       9,724,124  100%        29,765,620  100%        7,381,949  100%        _          _
