Name           MACs         CPercent    Memory       MPercent    Params      PPercent    InShape       OutShape
-------------  -----------  ----------  -----------  ----------  ----------  ----------  ------------  ------------
input          0            0.00%       921,600      0.68%       0           0.00%       1x1x480x480   1x1x480x480
Conv_0         192,459,392  28.82%      6,341,376    4.68%       7,808       0.04%       1x1x480x480   1x64x157x157
ReduceMean_1   1,577,536    0.24%       98,596       0.07%       0           0.00%       1x64x157x157  1x1x157x157
Sub_2          1,577,536    0.24%       6,310,144    4.66%       0           0.00%       1x64x157x157  1x64x157x157
Pow_4          50,481,152   7.56%       6,310,144    4.66%       0           0.00%       1x64x157x157  1x64x157x157
ReduceMean_5   1,577,536    0.24%       98,596       0.07%       0           0.00%       1x64x157x157  1x1x157x157
Sub_6          1,577,536    0.24%       6,310,144    4.66%       0           0.00%       1x64x157x157  1x64x157x157
Add_8          24,649       0.00%       98,596       0.07%       0           0.00%       1x1x157x157   1x1x157x157
Sqrt_9         98,596       0.01%       98,596       0.07%       0           0.00%       1x1x157x157   1x1x157x157
Div_10         3,155,072    0.47%       6,310,144    4.66%       0           0.00%       1x64x157x157  1x64x157x157
Mul_11         1,577,536    0.24%       6,310,400    4.66%       64          0.00%       64x1x1        1x64x157x157
Add_12         1,577,536    0.24%       6,310,400    4.66%       64          0.00%       1x64x157x157  1x64x157x157
Relu_13        1,577,536    0.24%       6,310,144    4.66%       0           0.00%       1x64x157x157  1x64x157x157
MaxPool_14     3,504,384    0.52%       1,557,504    1.15%       0           0.00%       1x64x157x157  1x64x78x78
Conv_15        346,927,104  51.95%      2,851,584    2.11%       602,304     3.09%       1x64x78x78    1x192x24x24
ReduceMean_16  110,592      0.02%       2,304        0.00%       0           0.00%       1x192x24x24   1x1x24x24
Sub_17         110,592      0.02%       442,368      0.33%       0           0.00%       1x192x24x24   1x192x24x24
Pow_19         3,538,944    0.53%       442,368      0.33%       0           0.00%       1x192x24x24   1x192x24x24
ReduceMean_20  110,592      0.02%       2,304        0.00%       0           0.00%       1x192x24x24   1x1x24x24
Sub_21         110,592      0.02%       442,368      0.33%       0           0.00%       1x192x24x24   1x192x24x24
Add_23         576          0.00%       2,304        0.00%       0           0.00%       1x1x24x24     1x1x24x24
Sqrt_24        2,304        0.00%       2,304        0.00%       0           0.00%       1x1x24x24     1x1x24x24
Div_25         221,184      0.03%       442,368      0.33%       0           0.00%       1x192x24x24   1x192x24x24
Mul_26         110,592      0.02%       443,136      0.33%       192         0.00%       192x1x1       1x192x24x24
Add_27         110,592      0.02%       443,136      0.33%       192         0.00%       1x192x24x24   1x192x24x24
Relu_28        110,592      0.02%       442,368      0.33%       0           0.00%       1x192x24x24   1x192x24x24
MaxPool_29     209,088      0.03%       92,928       0.07%       0           0.00%       1x192x24x24   1x192x11x11
Conv_30        16,592,256   2.48%       7,388,160    5.45%       1,843,584   9.45%       1x192x11x11   1x384x3x3
ReduceMean_31  3,456        0.00%       36           0.00%       0           0.00%       1x384x3x3     1x1x3x3
Sub_32         3,456        0.00%       13,824       0.01%       0           0.00%       1x384x3x3     1x384x3x3
Pow_34         110,592      0.02%       13,824       0.01%       0           0.00%       1x384x3x3     1x384x3x3
ReduceMean_35  3,456        0.00%       36           0.00%       0           0.00%       1x384x3x3     1x1x3x3
Sub_36         3,456        0.00%       13,824       0.01%       0           0.00%       1x384x3x3     1x384x3x3
Add_38         9            0.00%       36           0.00%       0           0.00%       1x1x3x3       1x1x3x3
Sqrt_39        36           0.00%       36           0.00%       0           0.00%       1x1x3x3       1x1x3x3
Div_40         6,912        0.00%       13,824       0.01%       0           0.00%       1x384x3x3     1x384x3x3
Mul_41         3,456        0.00%       15,360       0.01%       384         0.00%       384x1x1       1x384x3x3
Add_42         3,456        0.00%       15,360       0.01%       384         0.00%       1x384x3x3     1x384x3x3
Relu_43        3,456        0.00%       13,824       0.01%       0           0.00%       1x384x3x3     1x384x3x3
Conv_44        23,894,784   3.58%       10,647,552   7.86%       2,654,976   13.60%      1x384x3x3     1x768x3x3
ReduceMean_45  6,912        0.00%       36           0.00%       0           0.00%       1x768x3x3     1x1x3x3
Sub_46         6,912        0.00%       27,648       0.02%       0           0.00%       1x768x3x3     1x768x3x3
Pow_48         221,184      0.03%       27,648       0.02%       0           0.00%       1x768x3x3     1x768x3x3
ReduceMean_49  6,912        0.00%       36           0.00%       0           0.00%       1x768x3x3     1x1x3x3
Sub_50         6,912        0.00%       27,648       0.02%       0           0.00%       1x768x3x3     1x768x3x3
Add_52         9            0.00%       36           0.00%       0           0.00%       1x1x3x3       1x1x3x3
Sqrt_53        36           0.00%       36           0.00%       0           0.00%       1x1x3x3       1x1x3x3
Div_54         13,824       0.00%       27,648       0.02%       0           0.00%       1x768x3x3     1x768x3x3
Mul_55         6,912        0.00%       30,720       0.02%       768         0.00%       768x1x1       1x768x3x3
Add_56         6,912        0.00%       30,720       0.02%       768         0.00%       1x768x3x3     1x768x3x3
Relu_57        6,912        0.00%       27,648       0.02%       0           0.00%       1x768x3x3     1x768x3x3
Reshape_58     0            0.00%       27,664       0.02%       4           0.00%       1x768x3x3     1x768x3x3
Reshape_59     0            0.00%       27,656       0.02%       2           0.00%       1x768x3x3     1x6912
Gemm_60        14,157,824   2.12%       56,639,488   41.81%      14,157,824  72.55%      1x6912        1x2048
Relu_61        2,048        0.00%       8,192        0.01%       0           0.00%       1x2048        1x2048
Gemm_62        245,880      0.04%       984,000      0.73%       245,880     1.26%       1x2048        1x120
Total          667,757,311  100%        135,460,744  100%        19,515,198  100%        _             _
